,coilno,clean
995,400998,1
996,400999,1
997,401000,1
998,401001,1
999,401002,1
1000,401003,1
1001,401004,1
1002,401005,1
1003,401006,1
1004,401007,1
1005,401008,1
1006,401009,1
1007,401010,1
1008,401011,1
1009,401012,1
1010,401013,1
1011,401014,1
1012,401015,1
1013,401016,1
1014,401017,1
1015,401018,1
1016,401019,1
1017,401020,1
1018,401021,1
1019,401022,1
1020,401023,1
1021,401024,1
1022,401025,1
1023,401026,1
1024,401027,1
1025,401028,1
1026,401029,1
1027,401030,1
1028,401031,1
1029,401032,1
1030,401033,1
1031,401034,1
1032,401035,1
1033,401036,1
1034,401037,1
1035,401038,1
1036,401039,1
1037,401040,1
1038,401041,1
1039,401042,1
1040,401043,1
1041,401044,1
1042,401045,1
1043,401046,1
1044,401047,1
1045,401048,1
1046,401049,1
1047,401050,1
1048,401051,1
1049,401052,1
1050,401053,1
1051,401054,1
1052,401055,1
1053,401056,1
1054,401057,1
1055,401058,1
1056,401059,1
1057,401060,1
1058,401061,1
1059,401062,1
1060,401063,1
1061,401064,1
1062,401065,1
1063,401066,1
1064,401067,1
1065,401068,0
1066,401069,0
1067,401070,1
1068,401071,1
1069,401072,1
1070,401073,1
1071,401074,1
1072,401075,1
1073,401076,1
1074,401077,1
1075,401078,1
1076,401079,1
1077,401080,1
1078,401082,1
1079,401083,1
1080,401084,1
1081,401085,1
1082,401086,1
1083,401087,1
1084,401088,1
1085,401089,1
1086,401090,1
1087,401091,1
1088,401092,1
1089,401093,1
1090,401094,1
1091,401095,1
1092,401096,1
1093,401097,1
1094,401098,1
1095,401099,1
1096,401100,1
1097,401101,1
1098,401102,1
1099,401103,1
1100,401104,1
1101,401105,1
1102,401106,1
1103,401107,1
1104,401108,1
1105,401109,1
1106,401110,1
1107,401111,1
1108,401112,1
1109,401113,1
1110,401114,1
1111,401115,1
1112,401116,1
1113,401117,1
1114,401118,1
1115,401119,1
1116,401120,1
1117,401121,1
1118,401122,1
1119,401123,1
1120,401124,1
1121,401125,1
1122,401126,1
1123,401127,1
1124,401128,1
1125,401129,1
1126,401130,1
1127,401131,1
1128,401132,1
1129,401133,1
1130,401134,1
1131,401135,1
1132,401136,1
1133,401137,1
1134,401138,1
1135,401139,1
1136,401140,1
1137,401141,1
1138,401142,1
1139,401143,1
1140,401144,1
1141,401145,1
1142,401146,1
1143,401147,1
1144,401148,1
1145,401149,1
1146,401150,1
1147,401151,1
1148,401152,1
1149,401153,1
1150,401154,1
1151,401155,1
1152,401156,1
1153,401157,1
1154,401158,1
1155,401159,1
1156,401160,1
1157,401161,1
1158,401162,1
1159,401163,1
1160,401164,1
1161,401165,1
1162,401166,1
1163,401167,1
1164,401168,1
1165,401169,1
1166,401170,1
1167,401171,1
1168,401172,1
1169,401173,1
1170,401174,1
1171,401175,1
1172,401176,1
1173,401177,1
1174,401178,1
1175,401179,1
1176,401180,1
1177,401181,1
1178,401182,1
1179,401183,1
1180,401184,1
1181,401185,1
1182,401186,1
1183,401187,1
1184,401188,1
1185,401189,1
1186,401190,1
1187,401191,1
1188,401192,1
1189,401193,1
1190,401194,1
1191,401195,1
1192,401196,1
1193,401197,1
1194,401198,1
1195,401199,1
1196,401200,1
1197,401201,1
1198,401202,1
1199,401203,1
1200,401204,1
1201,401205,1
1202,401206,1
1203,401207,1
1204,401208,1
1205,401209,1
1206,401210,1
1207,401211,1
1208,401212,1
1209,401213,1
1210,401214,1
1211,401215,1
1212,401216,1
1213,401217,1
1214,401218,1
1215,401219,1
1216,401220,1
1217,401221,1
1218,401222,1
1219,401223,1
1220,401224,1
1221,401225,1
1222,401226,1
1223,401227,1
1224,401228,1
1225,401229,1
1226,401230,1
1227,401231,1
1228,401232,1
1229,401233,1
1230,401234,1
1231,401235,1
1232,401774,1
1233,401775,1
1234,401776,1
1235,401777,1
1236,401778,1
1237,401779,1
1238,401780,1
1239,401781,1
1240,401782,1
1241,401783,1
1242,401784,1
1243,401785,1
1244,401786,1
1245,401787,1
1246,401788,1
1247,401789,1
1248,401790,1
1249,401792,1
1250,401793,1
1251,401794,1
1252,401795,1
1253,401796,1
1254,401797,1
1255,401798,1
1256,401799,1
1257,401800,1
1258,401801,1
1259,401803,1
1260,401236,1
1261,401238,1
1262,401239,1
1263,401240,1
1264,401241,1
1265,401242,1
1266,401243,1
1267,401244,1
1268,401245,1
1269,401246,1
1270,401247,1
1271,401248,1
1272,401249,1
1273,401250,1
1274,401251,1
1275,401252,1
1276,401253,1
1277,401254,1
1278,401255,1
1279,401804,1
1280,401805,1
1281,401806,1
1282,401807,1
1283,401808,1
1284,401809,1
1285,401810,1
1286,401811,1
1287,401812,1
1288,401813,1
1289,401814,1
1290,401815,1
1291,401816,1
1292,401817,1
1293,401818,1
1294,401819,1
1295,401820,1
1296,401821,1
1297,401822,1
1298,401823,1
1299,401256,1
1300,401257,1
1301,401258,1
1302,401259,1
1303,401260,1
1304,401261,1
1305,401262,1
1306,401263,1
1307,401264,1
1308,401265,1
1309,401266,1
1310,401267,1
1311,401268,1
1312,401269,1
1313,401270,1
1314,401271,1
1315,401272,1
1316,401273,1
1317,401274,1
1318,401275,1
1319,401276,1
1320,401278,1
1321,401279,1
1322,401280,1
1323,401281,1
1324,401282,1
1325,401283,1
1326,401284,1
1327,401285,1
1328,401286,1
1329,401287,1
1330,401288,1
1331,401289,1
1332,401290,1
1333,401291,1
1334,401292,1
1335,401293,1
1336,401294,1
1337,401295,1
1338,401296,1
1339,401297,1
1340,401298,1
1341,401299,1
1342,401300,1
1343,401301,1
1344,401824,1
1345,401825,1
